,name,z,log_bh,log_lbol,log_edd_ratio,m_app_bol,m_app_lim,M_bol,M_abs_lim,dist,L_L
0,SDSS J001141.74-000418.9,3.07450008392334,9.073315449876675,46.45150662199288,-0.722179373001353,19.693857892143058,22.57747446880534,-27.383616576662284,-25.377724840729027,26031.24224831948,0.638633738443448
1,SDSS J002221.87-004455.0,3.1496000289916988,9.255297974899149,46.44277827807083,-0.9128902419458812,19.77847074699651,22.640266463853685,-27.361795716857173,-25.44051683577737,26794.971087892976,0.638730657144998
2,SDSS J003532.12-091249.7,3.75,9.427058705404768,46.47967188162712,-1.047757368895212,20.13812567753262,23.092155403280515,-27.454029725747894,-25.8924057752042,32993.704517084305,0.6393659458751877
3,SDSS J004400.00-093159.9,3.188699960708618,8.052106425177694,46.37073691764589,0.2182599473506244,19.99064899171754,22.672341307512365,-27.181692315794827,-25.47259167943605,27193.697456880505,0.6387793100582715
4,SDSS J004734.91+011416.0,3.277400016784668,8.673716823780277,46.41187142804034,-0.3622159408575101,19.959075903529204,22.74360449531015,-27.284528591780948,-25.543854867233836,28100.94332579336,0.6388853786722721
5,SDSS J005654.88-003207.6,3.254300117492676,9.211604768337867,46.44211932392229,-0.8698559895331499,19.865093435566642,22.725241767052466,-27.360148331485824,-25.52549213897615,27864.313866179666,0.6388583122247196
6,SDSS J005703.38+001408.2,3.015000104904175,9.191141803019082,46.36926068041157,-0.9222516677250852,19.848574444291355,22.526576167000375,-27.17800172270902,-25.32682653892406,25428.177445093388,0.6385535248713001
7,SDSS J005945.09-095155.2,3.03629994392395,8.93241302141179,46.3685354830286,-0.664248083500766,19.868727786499207,22.544916515750806,-27.1761887292516,-25.34516688767449,25643.85444471161,0.6385826009438045
8,SDSS J011859.33+011112.1,3.1791999340057373,8.553799506118926,46.46955783425276,-0.1846122169837301,19.73584153504417,22.66458614235616,-27.42874460731199,-25.464836514279845,27096.751497841455,0.6387675989969803
9,SDSS J012004.82+141108.2,4.729300022125244,8.656214442109173,46.36457270237242,-0.3920122848543173,21.021031954554218,23.687313732165364,-27.166281777611147,-26.48756410408905,43397.30360546244,0.6400560828951223
10,SDSS J012255.41+010315.3,3.5162999629974365,7.974015189792342,46.35470838606346,0.280322651153547,20.28431270498229,22.92593369182103,-27.14162098683874,-25.726184063744714,30562.34953613328,0.6391444482036038
11,SDSS J012545.83-005826.3,3.313499927520752,8.805198620186204,46.39817792771437,-0.5073912375893954,20.0217369389522,22.77203177991822,-27.25029484096602,-25.572282151841904,28471.238277016313,0.6389269218537429
12,SDSS J013829.60-095247.3,4.167900085449219,8.925582112886543,46.30980529248407,-0.7161473655200297,20.834628682642382,23.363991935532653,-27.02936325289027,-26.164242307456337,37393.69549043637,0.6397001133572138
13,SDSS J014511.74-004328.9,3.0592000484466566,9.215237789961796,46.4584523769869,-0.8571559580924486,19.663504352556245,22.564485316703582,-27.400980964147337,-25.364735688627267,25875.99528543618,0.6386134099758274
14,SDSS J014836.33+000511.5,3.303499937057495,8.178451231366168,46.19175763759616,-0.0870641388875768,20.529945638124424,22.764189753794923,-26.7342441156705,-25.56444012571861,28368.603070993537,0.6389155049286229
15,SDSS J015057.51-004547.3,3.0557000637054443,7.857526933649527,46.48986167907348,0.5319642003063834,19.58200019518419,22.561504414547972,-27.479504219363783,-25.361754786471657,25840.49822314436,0.6386087311009401
16,SDSS J015210.34+011228.9,3.1682000160217285,8.698563973269426,46.489711230288975,-0.3092232880980035,19.676448128140812,22.655576225543342,-27.47912809740253,-25.455826597467027,26984.554040754567,0.6387539512410687
17,SDSS J020308.54+005626.0,3.055299997329712,8.09158726347074,46.109362443945805,-0.0825953646425006,20.532907323099227,22.561163454643836,-26.52825613154461,-25.36141382656752,25836.441122494125,0.6386081955988099
18,SDSS J020750.06+000407.6,3.006700038909912,9.848285357902894,46.48715163190774,-1.461504271112716,19.54666353891536,22.519392640364813,-27.472729101449453,-25.3196430122885,25344.19655572869,0.6385420830708233
19,SDSS J021934.52-000310.5,3.030100107192993,8.593399325331019,46.486162980933706,-0.207606889514878,19.569334550807127,22.53959202482148,-27.470257474014353,-25.339842396745166,25581.05226190134,0.6385741798089476
20,SDSS J022345.41-003235.6,3.0002999305725098,9.396349554595767,46.21738991248711,-1.279330187226229,20.215514511900352,22.51383931479821,-26.79832480289786,-25.314089686721896,25279.464092516555,0.6385332171831766
21,SDSS J022353.06+002522.2,3.5780999660491943,8.878143653189499,46.24141152931506,-0.7371026689920015,20.612611307531136,22.970990152498874,-26.85837884496774,-25.77124052442256,31203.120661321245,0.6392058348387237
22,SDSS J023217.83-081230.3,3.2084999084472656,7.6620346953668035,46.16634646508387,0.4039412245994996,20.517711032561394,22.688427216951162,-26.670716184389768,-25.488677588874847,27395.89186900206,0.638803495401669
23,SDSS J024616.59+001953.6,3.794199943542482,8.471943067961242,46.42307790354057,-0.1492357095382388,20.309825752698213,23.122370533229738,-27.312544780531525,-25.922620905153423,33456.007023488986,0.6394047702026517
24,SDSS J030614.41+003306.6,3.2934000492095947,9.668572672376252,46.40452066210442,-1.3644225553893818,19.99009245360901,22.756244130550144,-27.266151676941135,-25.55649450247383,28264.989346889764,0.6389039035930084
25,SDSS J033443.51-005846.9,3.053999900817871,8.953034690725804,46.40526206443596,-0.6481431714074049,19.792049931327078,22.560055114097068,-27.26800518276999,-25.360305486020753,25823.25731759731,0.6386064544079288
26,SDSS J033836.70-060334.3,3.2392001152038574,10.110195563576562,46.2500074356937,-1.960558673000428,20.333295890746214,22.713164501660565,-26.87986861091435,-25.51341487358425,27709.768680451474,0.6388404107562266
27,SDSS J034017.72-002041.2,3.032999992370605,8.687040392633326,46.439319128991634,-0.348091808759257,19.688936051891226,22.5420838960504,-27.353147844159174,-25.342334267974085,25610.424625525207,0.6385781229590156
28,SDSS J034127.35+011514.2,3.104300022125244,9.180127657994248,46.23773481152289,-1.0427633915889132,20.25339350984142,22.602580560328743,-26.849187050487323,-25.402830932252428,26333.956392678072,0.6386727572005667
29,SDSS J034521.38+002830.2,3.049000024795532,8.764151421480294,46.13402521823289,-0.7304967483649634,20.46587501870966,22.555788085971983,-26.589913067262323,-25.356038457895668,25772.563432087332,0.638599744350798
30,SDSS J073153.96+285955.3,3.1422998905181885,8.86640255125756,46.40623654007896,-0.5605365562961637,19.86379044320153,22.63423181507902,-27.27044137187749,-25.434482187002704,26720.609671972004,0.6387214393215632
31,SDSS J073823.94+340303.8,3.8455998897552486,9.404268475032914,46.45830915165643,-1.0463298684940483,20.256424418507915,23.157047319329084,-27.40062290082117,-25.95729769125277,33994.56309189506,0.6394487966820268
32,SDSS J074004.74+484507.2,3.1630001068115234,9.342839422544968,46.37316468542074,-1.070045282241793,19.963543901662035,22.65130563689398,-27.187761735231945,-25.451556008817665,26931.536243254403,0.6387474666044702
33,SDSS J074436.58+450407.8,3.2186999320983887,9.971743660878774,46.319881115819854,-1.7522330901764818,20.142120642983087,22.696673454212814,-27.054552811229726,-25.4969238261365,27500.126453286397,0.6388158384817995
34,SDSS J074748.22+323130.5,3.3617000579833984,8.139581685796623,45.97462778853918,-0.2653244423750038,21.11806681006334,22.809486303091383,-26.191419493028043,-25.609736675015068,28966.58255295455,0.6389809991328721
35,SDSS J075217.56+315704.2,3.034600019454956,8.920514963217961,46.24448590783389,-0.7763996005016338,20.177392941790355,22.543457733055174,-26.86606479126482,-25.34370810497886,25626.632835885088,0.6385802953877249
